,SerialNumber
136,SAS 3 TX alarm 
137,Primary Integration has identified that all RPPv2 units on site are missing trim seal in areas where cable passes over exposed sheet metal edges. 
138,"During startup in South Korea, PDI Tech found that keys were missing for key interlocks, and also found one board that was damaged with a capacitor broken off of a board. Will require return warranty trip to Korea. "
139,Upgrade monitor firmware on 3 PDUs PDU-A01 unit 02 (110-2540) PDU-B01 unit 04 (110-803) PDU-D01 unit 03 ( 110-2540) 
140,We short shipped the customer by two TOB's. 
141,Issue: Busway modules will not read from the accumulator board to their BMS system. We have narrowed the problem down to a few busway modules. Site would also like training for site personnel on the busway system. Ticket has been created to requesting PDI to come onsite for the following; - Tap Off Boxes that are not displaying proper Voltage / AMPs / Breaker config and output numbers. o It was noted that the last tap off boxes that were installed in SF Area and a few new ones in the colo space are not reporting properly to PME and in the Accumulator - Config and push updates from the Accumulator(HeadUnit) - Calibrate and config so they are reading power proper - Confirm in PME that we are seeing proper readings - Documentation on this process for future reference. - 2 Tap off Boxes in the colo space are not showing up on the Accumulator. We are not able to add these devices therefore we cannot report on these in PME. We would like this to be looked at and possible fixed or give us direction on next steps. 
142,Mast does not engage. Site has requested parts to ship for field repair. (Two of the 12 tap cans for the PDI Buss are broken. The Cam lock internal parts broke when we tried to engage them on the PDI Buss. After investigating the PDI Tap can We have come to see that the top Portion can be replaced once removing the 4 screws. Please let me know if we can get these parts shipped so we can replace them. Thanks) 
143,Service tech to visit customer sites and survey units that require SNMP upgrade. Estimated 50 units. 
144,"PM on 15 RPPs site Microsoft c/o Schneider Electric Humacao, Puerto Rico "
145,"Time: 7AM Scope: To perform commissioning on (20) RPPs; 180-2390-1-20; SO24789 Site Address: Digital Realty Trust 371 Gough Road Suite 150 Markham, ON L3R 4B6 Site Contact: William Johnson 571.982.0899 "
146,"1- 110-4297-1FS (225kVA) 2- 110-4296-1 (150kVA) 3- 110-4296-1-FS (150kVA) We did the start up properly and everything was in good order. Couple months after, screens did not work anymore (Black screen). Do you have the electrical control drawings for those models and the part list to order some parts? "
147,"Time: 7AM Scope: To perform SU on (20) RPPs; 180-2390-1-20; SO24789 Site Address: Digital Realty Trust 371 Gough Road Suite 150 Markham, ON L3R 4B6 Site Contact: William Johnson 571.982.0899 "
148,"The factory noted the wrong part number on the unit stickers. This part number does not match the PO, proposal, or shipping docs. Customer will not accept or pay for shipment until there is a 3-way match of documentation. "
149,"Upon inspection, contractor found loose hardware in 2000A Agg Reactor. One connection was not even hand tight, with visible gap. Contractor checked torque on other bolts and determined none were torqued. "
150,"displays are locking up. Update the software on 14 RPPs to 1.009 Site address: Stream (Medtronic) 108 West Creek Lane Chaska, MN 55318 Contact: Peter McGurran 651-488-9343 "
151,Upgrade JCOMMS with correct software and do startup 
152,"We need the sites support to schedule PDI for a dedicated day to troubleshoot this issue and any outstanding communication issues. This work needs to provide the access for PDI to update firmware to the BCM board, verify communication wiring is secure and make any remediation necessary in the field. "
153,Readdress 59 JCOMM boxes to customer specifications 
154,"Customer needs a software upgrade for RPP monitors. Current Version 1.007 Needs to be upgraded to 1.009 The Address is 9651 Hornbaker Rd Manassas,VA 20109 "
155,To upgrade the software to 13.xxx series (kwh) on RPPs 
156,"Active Alarms: Door open, phase rotation error, C-A input volts high "
157,STS is in alarm condition. NFG Bad. SCR shows shorted source 1. 
158,replacement shunt trip CKB09782 for pdu 
159,Replace monitor in unit 110-1839-13 
160,"SAS D SCR 1 Pulse alarm site Charter Communications 11011 E Peakview Ave Centennial, CO 80111 "
161,"shipped demo RPP to IBM / Softlayer for testing site IBM / Softlayer 907 Security Row Richardson, TX "
162,"missing the cover plates on 16 floor stands site QTS Irving, TX "
163,Site was missing 10 BCB06442 from their order 
164,"red glastic divider were missing on the unit and insulators were in their place on two units. site Bank of America 3000 Telecom Richardson, TX "
165,"Inspect 9 units in Vegas area (8) units are at the East campus (NAP4) (1) is at NAP9 1.	Nickie from QC inspect units for: a.	Ferrules are crimped b.	Power Connections are torqued c.	Measure resistance of voltage sense fuses for continuity d.	Mark all defects including new defects with red tape e.	Take picture of the serial number sticker and pictures of all defects 2.	SNA persone will do the following after each unit is inspected: a.	Cut, strip and crimp new ferrules as needed b.	Torque and mark connections that do not meet specification with a different colored torque seal, paint or marker c.	Replace any blown fuses d.	Correct all other defects found 3.	Nickie do the following after defects are corrected: a.	Verify the corrections b.	Take pictures of the serial number sticker and the corrections c.	Write a site inspection report upon return site Switch ( NAP9 & NAP4) Vegas, NV "
166,"PDU training site GE Healthcare 500 W. Monroe Chicago, IL "
167,replace monitors in 2 units SN 110-2415 
168,"Troubleshoot (Qty 9) SAS TX alarms Zendesk 1238571 site CyrusOne - West II 5170 Westway Park Blvd Houston, TX 77539 "
169,monitor failed in the field causing communication issues. needs to be replaced. 
170,Scope: assist with BMS integration assistance Equipment: QTY 36 x JCOMM BCMS Kits 
171,"PDU was previously sent in for repair due to shipping damage, when it arrived back onsite, more damage was noted. The two bottom front frame welds are cracked causing the enclosure front to be slightly angled down Original SF case 9943 "
172,"Scope: program all the breaker sizes to 30 Amp PDU 5B, serial number, 112-0005, unit 1, (Model number PP2-12-WSC-100-E-641) PDU 6A, serial number, 112-0005, unit 2, (Model number PP2-12-WSC-100-E-641) "
173,"TX and RX (SAS fiber) issues on three units. They are serial #s 442-0041 units 18b, 19b & 21b. "
174,2-	Ground bus bar is significantly smaller than pervious order. Can we send them a larger ground bus for all units as previously provided (See pic): Old bus bar See pic New bus bar See pic 3-	Theyíre like to know this part number ( relay- they want to buy it for spare parts): 4-	Theyíd like to have plates for where the blank breakers 
175,"Message: Debbie, I need your help with putting in a Warranty Line on SO#27495 for (4) MIS13310 Rev A Floorstands. CEVA Logistics lost the skid of (4) Floorstands and now I need to get them replaced as soon as possible. Jason, I Need to get these (4) MIS13310 Rev A Floorstands on order for delivery to us as soon as possible. Maybe even drop ship from the Vendor to save time. Thanks, Wayne A. Wood Shipping Manager 4200 Oakleys Court, Richmond, VA 23223 USA wayne.wood@pdicorp.com T: +1 804 428 6138 M: +1 804 615 0977 F: +1 804 737 1703 www.pdicorp.com "
176,"Missing a copper grounding bar from one of the coupler kits. site TD Ameritrade 1811 E Renner Rd Richardson, TX 75082 "
177,"From Kelly Ryan: I was at Visa today to do the RPP-CT-Strip-bracket-upgrade. The bracket does not fit! After a couple of hours of trying to figure out the issue, I need to shave about 3/8î off of the bracket to get it mounted and seated properly. I brought the brackets home and I filed down a set for one RPP with a bench grinder and I will make sure it works in the system before I grind anymore. They are pressing for 2 of these RPPís to be done ASAP as they are ready to commission those soon. I will have those done in the A.M. The rest are on pallets still. After grinding down a few brackets. It takes about 15 minutes per bracket. 32 brackets to be done total. Visa is setting me up in the loading dock tomorrow to grind away etc with my grinder. Iíll keep you posted after I finish the first RPP. "
178,"2-	Ground connection from the tap box to the bus..They were having an issue with open ground when tap boxes was installed. Also mentioned that the ground connection fingers were getting stuck on the rail upon tap box insertion. The grounds are spring loaded and can get caught/crooked if pushed down on one side. This is a problem that has been going on for some time (since my Universal Power days). Needs to be addressed. site Facebook Prineville, OR "
179,"12 ground jumpers missing from the shipment site Emcor- Hyde Electric NiSource - phase 3 Hammond, IN "
180,"24 side plates missing from the shipment site Emcor- Hyde Electric NiSource - phase 3 Hammond, IN "
181,Suite G102 Swapping out breakers in the sidecars for 100% rated breakers. 48 breakers 
182,"customer received their shipment of boards purchased. inside the box was a ""do not use - non conformance"" tag. Because this puts a question about board quality, we will replace the boards and previous boards back for quality to determine disposition. site Thomson Reuters 610 Opperman Dr Eagan, MN "
183,"shipped replacement side panels, however they were too long. order called for PNL17176 site Emcor- Hyde Electric NiSource - phase 3 Hammond, IN "
184,"Notes from customer (PICTURES ATTACHED) This is the 3rd time in a year that Iíve had to deal with this bad data. Circled below is a circuit that has ì0î (zero) load on it yet it reads ~195 amps. Short of replacing the CT strip to resolve this, which Iíve done twice now, is there a software workaround that you know of? I moved the wire to another working CT and would like to disable this BCMS channel to eliminate alarms that we are receiving. "
